 Óbitos infantis - Minas Gerais
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2024
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"313170 ITABIRA";44;58;37;42;34;41;35;23;18;31;28;18;21;16;22;24;17;20;21;17;21;10;7;19;13;15;12;15;13;692
"313180 ITABIRINHA";10;10;2;-;5;2;3;4;7;3;3;3;4;2;1;-;2;1;3;3;2;-;-;2;2;-;2;3;-;79
"313190 ITABIRITO";14;8;13;13;11;9;5;14;10;13;10;7;14;9;12;8;9;5;8;4;7;5;4;5;6;8;9;5;13;258
"313200 ITACAMBIRA";-;-;-;-;1;1;-;2;2;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;12
"313210 ITACARAMBI";12;5;4;11;4;11;15;6;6;4;3;3;2;7;5;3;3;4;2;2;6;5;5;7;3;3;4;3;1;149
"313220 ITAGUARA";6;4;5;2;4;11;2;4;-;1;2;4;-;-;2;1;3;3;3;5;2;2;1;-;1;-;1;1;1;71
"313230 ITAIPE";-;-;-;1;5;3;3;6;6;8;6;5;3;4;5;1;2;3;6;7;2;1;3;3;1;2;6;4;3;99
"313240 ITAJUBA";46;35;52;25;40;33;24;25;18;21;30;21;24;19;21;18;7;16;11;12;9;14;16;11;8;16;14;11;14;611
"313250 ITAMARANDIBA";27;10;18;12;8;4;12;10;13;8;12;6;10;14;7;10;7;7;7;8;6;4;3;3;4;8;5;3;1;247
"313260 ITAMARATI DE MINAS";-;-;1;-;2;-;1;-;3;-;-;1;2;-;-;-;-;-;3;1;-;-;-;-;1;-;-;-;1;16
"313270 ITAMBACURI";14;12;12;10;7;17;8;10;11;9;5;12;13;5;7;5;5;2;1;4;6;6;4;5;4;6;3;8;5;216
"313280 ITAMBE DO MATO DENTRO";2;2;-;5;1;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;1;-;16
"313290 ITAMOGI";11;5;8;3;5;6;2;3;4;2;3;1;2;-;1;4;2;1;-;1;1;1;1;2;2;2;-;1;1;75
"313300 ITAMONTE";8;13;4;6;5;3;1;4;3;2;1;-;2;1;1;1;2;2;-;1;2;2;-;1;-;1;-;1;1;68
"313310 ITANHANDU";1;4;-;2;1;1;3;2;-;4;1;1;-;2;1;3;1;3;2;3;5;-;1;-;-;-;-;1;4;46
"313320 ITANHOMI";5;1;10;1;4;4;4;5;5;3;5;2;1;1;1;3;3;-;3;1;5;-;-;4;-;1;2;2;1;77
"313330 ITAOBIM";6;10;4;8;5;4;4;11;9;11;7;4;5;9;5;7;4;-;4;2;2;4;1;1;6;1;1;4;1;140
"313340 ITAPAGIPE";7;5;3;1;2;1;1;-;-;1;2;1;5;1;3;1;3;1;-;-;-;1;1;2;2;3;1;1;-;49
"313350 ITAPECERICA";10;12;13;10;10;4;4;4;6;3;4;3;3;4;4;1;1;1;2;2;2;3;1;1;3;2;2;4;3;122
"313360 ITAPEVA";2;2;4;3;-;1;3;3;3;1;1;2;2;1;3;-;-;-;2;-;1;4;2;3;1;2;1;1;4;52
"313370 ITATIAIUCU";2;4;2;3;-;3;1;2;2;8;2;2;-;2;-;3;2;-;2;4;-;3;2;3;1;1;-;-;2;56
"313375 ITAU DE MINAS";4;3;2;5;2;3;1;3;4;2;3;2;4;-;4;2;2;1;2;3;1;1;-;2;2;-;3;-;-;61
"313380 ITAUNA";34;34;22;16;22;19;15;22;15;15;17;15;10;10;14;16;7;17;9;9;14;12;14;9;9;9;14;11;10;440
"313390 ITAVERAVA";3;3;3;2;5;1;2;2;1;1;-;1;-;3;-;1;1;-;-;-;1;2;1;1;1;-;2;1;1;39
"313400 ITINGA";-;-;2;-;6;2;5;2;5;4;2;6;2;2;5;2;1;2;3;3;3;2;1;4;2;2;2;-;1;71
"313410 ITUETA";-;1;-;2;-;1;1;-;2;-;2;-;-;-;1;1;-;1;1;2;-;-;2;-;1;2;2;-;-;22
"313420 ITUIUTABA";35;25;27;31;30;36;27;14;24;16;18;14;19;14;15;7;17;12;7;19;15;13;21;14;11;10;13;15;15;534
"313430 ITUMIRIM";-;2;3;-;3;-;3;-;3;2;1;1;2;1;-;3;1;1;-;-;2;-;2;-;-;-;-;1;-;31
"313440 ITURAMA";13;12;13;8;10;7;2;4;6;7;3;5;6;4;6;5;4;7;9;6;8;3;10;7;4;4;7;4;1;185
"313450 ITUTINGA";1;2;2;2;1;1;-;-;1;1;1;1;-;-;-;-;-;1;2;2;1;1;1;2;1;2;1;-;1;28
"313460 JABOTICATUBAS";8;2;6;7;4;4;4;7;5;5;3;1;3;-;1;2;2;5;1;3;2;6;1;2;2;6;1;-;1;94
"313470 JACINTO";-;4;-;8;10;4;6;7;-;4;5;2;4;5;2;2;4;3;2;3;2;-;1;2;1;3;-;1;2;87
"313480 JACUI";4;1;4;2;1;1;1;-;-;-;2;-;-;-;2;-;3;-;1;-;2;1;1;3;-;1;3;-;2;35
"313490 JACUTINGA";1;4;6;8;5;9;9;3;8;2;2;-;4;5;2;7;3;2;5;2;3;4;1;2;2;3;-;3;2;107
"313500 JAGUARACU";1;-;1;-;-;1;1;-;1;1;1;-;-;-;-;2;1;-;-;-;1;1;-;-;-;-;-;-;-;12
"313505 JAIBA";10;7;3;9;3;5;15;16;11;7;13;5;7;7;4;3;7;6;4;9;6;7;6;9;2;9;2;10;7;209
"313507 JAMPRUCA";-;2;-;1;1;-;1;2;1;1;3;2;1;1;-;3;1;-;-;-;1;1;-;-;1;1;-;-;-;24
"313510 JANAUBA";23;17;17;11;19;22;14;25;19;14;16;4;9;9;10;8;13;14;9;13;12;7;14;13;9;15;6;10;10;382
"313520 JANUARIA";7;12;6;10;15;12;14;15;14;13;12;9;16;10;14;13;15;13;24;20;20;12;13;12;9;11;8;20;11;380
"313530 JAPARAIBA";-;-;-;-;-;1;-;1;2;1;2;-;-;-;-;1;-;1;3;2;-;1;2;2;1;1;2;1;-;24
"313535 JAPONVAR";-;-;1;-;-;1;3;-;-;2;2;2;2;-;-;1;1;-;1;1;1;1;1;1;2;-;-;1;-;24
"313540 JECEABA";2;4;2;5;1;1;-;2;3;3;-;2;2;2;2;1;1;-;-;-;-;-;1;-;-;-;1;-;1;36
"313545 JENIPAPO DE MINAS";-;1;-;-;-;1;1;3;2;3;4;2;2;-;-;-;-;2;1;1;-;-;-;-;-;1;2;-;-;26
"313550 JEQUERI";2;10;8;6;5;1;2;3;6;5;6;3;4;1;3;-;3;1;2;-;-;3;1;2;5;2;1;-;1;86
"313560 JEQUITAI";2;-;1;3;2;4;3;4;8;4;3;2;3;2;1;2;2;-;2;2;1;-;1;2;3;1;-;2;1;61
"313570 JEQUITIBA";5;2;2;1;1;2;-;-;-;2;1;-;-;-;-;2;3;1;3;1;-;1;2;-;1;1;3;2;-;36
"313580 JEQUITINHONHA";9;8;8;10;12;14;8;12;5;4;4;9;3;6;1;7;4;5;6;3;1;5;4;3;6;3;4;2;3;169
"313590 JESUANIA";-;1;2;-;1;1;1;1;2;1;2;-;1;-;-;2;-;-;1;1;-;1;1;-;-;1;2;1;-;23
"313600 JOAIMA";10;15;11;5;8;3;2;6;7;2;4;2;6;3;3;6;1;6;3;6;4;2;6;2;2;1;3;1;-;130
"313610 JOANESIA";3;2;-;1;4;3;1;1;1;-;-;1;1;2;-;2;-;-;-;-;-;1;1;3;-;-;-;-;-;27
"313620 JOAO MONLEVADE";36;30;24;30;31;18;19;20;7;16;20;10;12;14;13;12;15;9;17;15;10;13;18;8;8;9;11;7;9;461
"313630 JOAO PINHEIRO";14;19;19;12;11;8;8;8;11;9;12;16;12;5;8;8;8;10;10;13;11;5;7;8;10;6;7;12;3;290
"313640 JOAQUIM FELICIO";2;2;1;-;-;1;2;-;2;-;1;-;-;1;1;1;1;2;1;1;-;1;-;-;-;1;1;-;-;22
"313650 JORDANIA";2;1;-;-;8;3;1;2;2;1;-;3;3;3;2;1;2;2;6;-;1;3;3;2;2;1;2;2;1;59
"313652 JOSE GONCALVES DE MINAS";-;1;-;-;-;1;-;2;1;2;3;1;1;2;1;1;-;-;1;1;2;1;-;-;-;-;-;-;1;22
"313655 JOSE RAYDAN";-;1;2;2;2;-;2;2;2;-;-;1;-;-;-;-;1;1;-;-;2;2;2;4;1;-;2;1;1;31
"313657 JOSENOPOLIS";-;-;-;1;2;1;2;2;2;-;1;5;-;1;-;1;1;-;1;-;-;2;1;-;-;1;1;-;1;26
"313660 NOVA UNIAO";-;4;1;-;1;3;3;2;1;3;-;2;3;-;3;1;-;-;2;-;1;-;-;1;-;1;-;2;1;35
"313665 JUATUBA";9;9;5;1;8;1;7;6;4;3;7;1;4;4;2;1;2;5;3;4;2;4;3;5;3;4;7;2;5;121
"313670 JUIZ DE FORA";235;231;217;184;181;175;126;140;146;115;105;94;108;100;111;90;97;86;97;80;77;68;76;79;72;65;80;66;65;3366
"313680 JURAMENTO";2;-;1;2;2;-;-;1;2;2;1;-;-;2;-;2;-;1;1;-;-;1;-;-;1;-;2;1;-;24
"313690 JURUAIA";3;2;2;2;6;2;3;3;2;1;1;1;1;1;-;3;2;1;1;-;1;3;1;1;1;2;1;2;1;50
"313695 JUVENILIA";-;-;-;1;-;-;2;1;2;1;-;2;-;1;1;2;2;2;2;3;-;-;2;1;1;1;-;1;-;28
"313700 LADAINHA";1;1;2;-;4;2;3;4;13;10;9;9;7;13;5;6;3;3;5;2;4;3;3;5;1;2;2;1;6;129
"313710 LAGAMAR";3;1;1;1;1;2;1;1;1;1;-;-;1;-;2;-;-;-;-;-;-;-;2;-;1;-;-;1;-;20
"313720 LAGOA DA PRATA";21;19;23;10;9;5;11;9;13;9;14;13;10;6;6;8;6;6;5;3;10;5;8;8;5;12;7;11;7;279
"313730 LAGOA DOS PATOS";1;3;-;4;5;2;1;-;2;1;1;-;2;1;3;1;1;3;-;4;-;-;1;2;2;-;1;-;-;41
"313740 LAGOA DOURADA";4;4;5;2;5;3;2;6;3;2;5;7;1;6;3;2;3;1;1;4;2;4;-;-;-;1;-;1;4;81
"313750 LAGOA FORMOSA";3;8;4;7;6;4;1;2;3;7;4;1;4;1;5;3;1;3;2;1;2;5;6;2;3;2;2;5;3;100
"313753 LAGOA GRANDE";-;1;-;2;-;1;-;1;1;-;-;2;2;1;-;2;-;2;-;3;1;1;2;1;-;1;2;1;-;27
"313760 LAGOA SANTA";17;13;15;14;4;20;13;15;12;14;13;8;10;4;3;14;9;9;8;8;11;12;8;5;6;10;9;10;12;306
"313770 LAJINHA";14;14;8;15;16;10;12;9;11;1;9;4;3;2;4;4;5;4;4;2;1;3;6;7;3;2;2;7;4;186
"313780 LAMBARI";4;4;-;4;3;3;5;4;6;4;5;1;3;1;2;1;4;2;2;3;1;3;4;2;2;2;-;1;2;78
"313790 LAMIM";3;-;-;-;-;1;1;2;2;3;-;2;2;-;-;-;1;1;1;1;1;-;-;-;1;-;2;-;-;24
"313800 LARANJAL";1;2;1;1;1;-;-;-;2;4;-;-;1;-;-;1;-;1;-;-;1;-;-;1;-;1;-;-;-;18
"313810 LASSANCE";4;-;3;1;3;3;4;3;-;3;1;1;2;1;-;1;-;2;5;1;-;-;1;1;-;2;2;-;1;45
"313820 LAVRAS";64;24;29;43;36;21;26;14;17;13;19;14;20;21;9;13;25;17;17;17;14;26;15;15;13;17;12;14;12;597
"313830 LEANDRO FERREIRA";2;1;-;-;-;-;2;1;2;-;-;1;1;1;-;-;-;-;1;1;1;2;-;-;-;-;1;-;-;17
"313835 LEME DO PRADO";-;-;-;-;2;-;-;-;2;2;1;3;3;3;-;-;-;-;-;-;-;-;-;2;2;1;3;-;-;24
"313840 LEOPOLDINA";28;26;18;24;16;15;12;14;15;9;10;8;6;6;8;9;16;13;10;4;3;4;8;6;8;4;6;2;9;317
"313850 LIBERDADE";1;2;5;3;-;1;2;-;2;1;1;1;1;-;2;-;2;1;-;1;1;2;-;1;1;-;1;-;-;32
"313860 LIMA DUARTE";14;8;2;7;10;3;3;4;2;5;4;4;3;-;2;3;3;1;4;5;2;-;1;-;3;2;2;3;1;101
"313862 LIMEIRA DO OESTE";1;5;-;1;1;2;1;-;1;1;-;-;-;-;2;2;1;1;1;2;1;2;-;-;-;-;-;2;1;28
"313865 LONTRA";3;3;1;1;-;4;3;3;2;3;6;-;1;-;2;1;2;1;-;1;2;1;2;1;2;1;2;4;1;53
"313867 LUISBURGO";-;5;3;-;-;1;4;1;1;2;1;2;2;1;1;2;1;1;-;1;-;2;3;2;5;2;2;2;1;48
"313868 LUISLANDIA";-;1;2;2;-;1;2;-;2;1;1;2;1;-;1;-;1;1;2;5;2;2;1;-;-;2;3;5;-;40
"313870 LUMINARIAS";2;1;1;2;3;-;1;5;-;2;3;-;-;2;-;1;-;-;2;-;-;1;-;1;-;2;-;2;-;31
"313880 LUZ";6;6;10;5;6;4;2;5;1;2;4;2;3;3;4;2;4;3;2;1;3;3;1;3;4;3;4;1;2;99
"313890 MACHACALIS";4;5;8;-;4;4;4;-;1;4;-;2;2;1;2;1;1;2;2;1;2;-;2;1;1;2;1;-;-;57
"313900 MACHADO";28;14;13;14;13;22;12;14;8;8;5;10;7;9;9;11;5;7;1;9;3;12;4;4;5;5;8;6;6;272
"313910 MADRE DE DEUS DE MINAS";2;2;2;3;1;2;1;2;-;-;1;1;1;1;1;1;-;-;-;1;-;1;-;2;1;-;-;-;-;26
"313920 MALACACHETA";3;4;8;8;11;4;9;11;15;14;9;3;6;9;5;2;6;6;8;4;3;2;5;2;4;3;4;3;1;172
"313925 MAMONAS";1;-;1;1;-;1;-;1;3;-;1;1;2;-;1;2;-;1;1;-;-;-;-;2;-;-;-;-;1;20
"313930 MANGA";15;11;9;12;16;6;9;15;10;13;9;7;11;10;7;7;5;6;4;5;7;9;4;3;2;4;4;9;6;235
"313940 MANHUACU";72;63;51;44;68;55;32;28;29;26;26;23;30;20;21;16;17;18;17;12;12;17;10;14;8;13;14;3;11;770
"313950 MANHUMIRIM";5;16;14;9;13;10;8;12;8;8;6;7;10;3;4;7;2;4;3;8;4;2;2;3;2;3;2;1;3;179
"313960 MANTENA";21;18;16;6;19;8;8;6;7;7;7;6;9;6;6;5;8;3;1;5;5;3;5;3;2;5;2;5;7;209
"313970 MARAVILHAS";3;1;-;1;-;2;-;3;2;2;1;-;1;3;1;1;-;-;-;6;-;1;-;1;-;-;1;1;1;32
"313980 MAR DE ESPANHA";6;8;6;4;3;6;4;7;5;5;5;4;3;3;1;3;6;2;2;3;3;3;4;1;-;1;5;1;2;106
"313990 MARIA DA FE";19;12;12;7;4;5;9;3;6;1;2;6;5;7;3;4;1;-;2;2;1;1;2;3;1;3;1;1;1;124
"314000 MARIANA";33;26;30;20;26;17;25;18;12;20;19;12;8;5;8;12;10;3;12;10;12;11;9;7;10;12;9;15;5;416
"314010 MARILAC";4;4;2;4;3;2;1;2;1;1;2;2;1;-;2;1;1;1;-;-;4;2;1;1;-;-;2;1;-;45
"314015 MARIO CAMPOS";-;3;2;8;3;4;1;4;7;1;3;3;3;1;4;2;6;3;3;5;2;3;2;4;3;3;1;4;8;96
"314020 MARIPA DE MINAS";1;1;1;-;1;-;-;-;-;-;1;1;1;1;-;-;-;1;-;2;-;-;-;-;-;1;-;-;-;12
"314030 MARLIERIA";3;3;2;-;1;-;2;2;-;1;-;-;3;-;-;1;1;-;-;-;2;2;2;1;-;1;-;-;-;27
"314040 MARMELOPOLIS";2;3;1;-;3;1;2;1;2;-;1;2;1;2;1;-;1;1;-;-;-;-;1;1;-;-;-;-;-;26
"314050 MARTINHO CAMPOS";12;3;4;2;3;5;3;4;4;2;4;2;2;2;1;3;2;-;3;5;4;2;2;3;1;1;1;1;1;82
"314053 MARTINS SOARES";-;1;3;1;3;1;4;3;1;1;3;1;2;-;-;2;2;2;3;2;2;1;2;-;3;1;1;2;1;48
"314055 MATA VERDE";-;-;-;2;1;-;4;3;2;1;2;7;3;1;-;3;1;1;-;1;-;1;1;4;4;2;1;1;2;48
"314060 MATERLANDIA";3;3;2;2;6;-;3;1;2;1;2;-;5;1;1;3;-;1;-;-;2;1;1;-;1;-;-;-;-;41
"314070 MATEUS LEME";4;10;7;18;5;8;7;8;4;4;6;6;6;4;4;7;3;-;8;2;2;5;5;7;5;6;6;6;2;165
"314080 MATIAS BARBOSA";11;4;7;2;5;3;5;1;5;2;2;4;2;4;5;-;1;6;2;-;-;3;5;2;1;-;2;3;-;87
"314085 MATIAS CARDOSO";1;4;5;-;3;1;4;2;2;5;7;2;2;3;1;1;-;2;4;-;-;1;2;1;1;1;2;-;1;58
"314090 MATIPO";26;24;24;14;5;13;13;10;21;9;8;5;4;12;4;5;5;4;4;1;4;6;4;1;2;3;6;2;2;241
"314100 MATO VERDE";3;3;2;1;-;4;4;2;2;1;2;1;4;-;1;-;1;-;1;1;1;5;1;-;1;1;1;1;-;44
"314110 MATOZINHOS";11;13;9;11;6;8;8;6;3;10;8;5;5;7;4;6;3;4;9;7;6;7;3;3;2;3;1;7;5;180
"314120 MATUTINA";-;-;1;-;1;-;2;-;1;1;-;-;1;-;-;1;2;3;1;-;-;2;-;1;-;-;-;-;-;17
"314130 MEDEIROS";-;-;-;1;-;-;1;1;-;1;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;-;-;1;9
"314140 MEDINA";4;-;-;-;-;4;8;13;18;9;6;8;6;6;5;7;5;3;4;2;13;3;1;6;1;4;2;3;4;145
"314150 MENDES PIMENTEL";1;-;-;-;1;1;4;1;1;2;2;-;1;1;3;1;1;1;-;1;-;1;3;1;1;-;2;2;1;33
"314160 MERCES";15;7;5;6;2;5;3;5;2;6;1;2;3;1;4;4;2;3;2;-;1;2;1;3;1;3;-;-;-;89
"314170 MESQUITA";7;1;2;3;3;3;2;2;2;2;1;-;2;-;-;1;1;-;-;2;-;-;3;-;-;2;2;-;1;42
"314180 MINAS NOVAS";6;6;15;14;3;14;16;7;13;10;17;14;5;7;11;16;6;8;8;7;4;5;5;4;2;5;3;2;1;234
"314190 MINDURI";2;4;1;-;2;2;1;1;-;3;-;-;2;1;-;-;1;-;1;-;-;-;-;-;-;1;1;1;-;24
"314200 MIRABELA";10;3;6;4;5;2;4;-;3;4;7;-;4;1;2;-;2;1;1;2;2;4;3;-;4;-;2;2;2;80
"314210 MIRADOURO";4;7;4;4;2;1;-;2;2;3;2;2;4;1;2;1;1;2;1;-;-;2;-;-;3;-;-;-;-;50
"314220 MIRAI";15;12;4;12;2;1;1;1;5;1;4;4;4;-;1;1;1;2;2;2;3;1;3;3;1;1;1;2;2;92
"314225 MIRAVANIA";-;-;2;-;-;1;1;3;-;-;1;-;1;-;3;1;1;-;-;2;1;1;1;-;-;-;-;-;1;20
"314230 MOEDA";3;1;2;2;1;-;1;1;-;1;1;1;-;-;-;-;-;1;-;-;1;-;1;4;-;-;-;-;2;23
"314240 MOEMA";2;-;2;2;1;1;1;1;1;2;4;1;1;1;4;1;2;-;2;-;2;-;-;-;1;1;1;-;-;34
"314250 MONJOLOS";-;2;1;-;1;1;2;-;-;-;3;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;12
"314260 MONSENHOR PAULO";-;4;2;2;2;3;2;1;1;1;-;3;1;2;1;2;2;2;-;1;-;2;1;1;-;-;-;-;-;36
"314270 MONTALVANIA";3;1;2;3;-;6;10;12;6;2;-;3;5;3;5;4;2;1;2;3;1;1;2;3;-;-;3;1;4;88
"314280 MONTE ALEGRE DE MINAS";14;2;7;4;3;3;3;3;1;1;2;-;2;6;2;2;3;7;2;1;2;2;3;4;2;-;1;2;3;87
"314290 MONTE AZUL";7;6;4;1;3;7;9;7;4;5;3;2;5;2;4;6;5;1;4;4;3;5;3;7;4;3;3;7;3;127
"314300 MONTE BELO";6;4;4;8;6;6;5;3;2;2;5;3;5;3;1;3;2;-;1;3;3;1;3;2;-;-;-;2;-;83
"314310 MONTE CARMELO";23;15;20;20;17;16;12;10;12;7;6;12;8;7;9;7;7;4;5;10;6;9;5;8;7;6;6;1;10;285
"314315 MONTE FORMOSO";-;1;-;-;-;-;-;2;2;3;2;-;1;1;1;1;2;1;1;1;3;-;-;1;2;3;-;2;-;30
"314320 MONTE SANTO DE MINAS";4;7;2;5;7;7;4;8;4;2;6;2;4;-;5;1;3;2;3;5;2;3;-;3;2;-;4;1;1;97
"314330 MONTES CLAROS";185;189;153;149;128;126;110;88;82;87;94;72;63;63;65;59;65;76;62;68;81;62;66;62;61;53;59;63;56;2547
"314340 MONTE SIAO";5;4;5;6;4;7;5;4;3;3;1;1;3;3;-;3;1;1;2;2;3;2;2;3;3;3;2;2;2;85
"314345 MONTEZUMA";-;2;-;2;1;1;1;1;2;1;3;2;3;3;2;2;2;-;1;-;-;1;1;1;-;-;1;-;1;34
"314350 MORADA NOVA DE MINAS";4;3;1;2;3;2;2;2;2;3;2;2;2;2;-;2;2;1;1;-;1;2;3;1;-;2;2;1;1;51
"314360 MORRO DA GARCA";1;-;-;2;-;1;-;-;-;1;-;-;-;1;-;-;2;-;-;1;-;1;-;-;-;-;-;1;-;11
"314370 MORRO DO PILAR";4;4;2;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;1;2;1;1;-;1;-;20
"314380 MUNHOZ";3;3;4;3;3;4;1;1;-;-;1;2;2;-;1;-;-;1;1;-;1;2;-;-;4;1;-;-;-;38
"314390 MURIAE";14;2;5;23;31;31;24;36;32;28;28;26;25;23;23;19;17;17;9;12;15;9;17;17;17;14;11;6;15;546
"314400 MUTUM";7;16;21;9;9;9;7;8;12;2;11;7;5;3;3;5;4;3;4;2;3;1;4;3;2;-;5;2;2;169
"314410 MUZAMBINHO";12;8;15;9;6;10;8;7;1;1;7;1;4;2;1;1;3;6;-;1;3;1;5;3;5;3;1;3;2;129
"314420 NACIP RAYDAN";1;1;2;-;2;-;-;-;-;1;2;1;2;1;-;-;1;-;1;1;1;1;-;-;-;-;-;-;-;18
"314430 NANUQUE";27;25;30;11;13;18;10;9;17;15;15;19;18;12;6;9;4;6;7;7;5;4;12;11;3;3;6;5;5;332
"314435 NAQUE";-;-;-;5;3;1;2;1;2;-;2;-;1;2;3;-;-;-;-;2;2;1;2;1;1;1;1;-;1;34
"314437 NATALANDIA";-;1;-;1;1;-;-;-;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;3;2;-;-;-;1;13
"314440 NATERCIA";1;1;1;3;1;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;12
"314450 NAZARENO";4;4;3;3;1;-;2;2;1;1;3;2;5;2;-;-;-;2;1;1;-;1;1;2;-;1;1;-;2;45
"314460 NEPOMUCENO";14;10;8;12;10;3;7;7;6;3;3;4;5;5;3;4;5;4;8;5;7;5;3;-;3;1;4;4;1;154
"314465 NINHEIRA";-;1;-;-;-;1;-;-;1;-;1;1;-;-;2;1;2;2;4;-;2;1;1;1;1;1;2;1;-;26
"314467 NOVA BELEM";-;3;1;2;-;2;2;4;2;3;1;-;1;2;-;-;-;-;-;3;-;-;-;-;1;-;3;1;1;32
"314470 NOVA ERA";6;8;9;5;8;7;7;3;6;8;4;5;2;1;2;1;3;3;4;5;4;1;2;2;1;5;3;2;-;117
"314480 NOVA LIMA";40;29;36;17;14;25;13;17;12;14;13;15;13;11;14;13;15;7;9;14;16;12;13;13;7;9;14;15;15;455
"314490 NOVA MODICA";-;-;-;-;1;-;-;3;1;1;2;1;-;-;1;-;1;1;-;1;1;-;-;1;-;1;-;-;-;16
"314500 NOVA PONTE";-;-;2;-;4;2;1;2;4;1;2;3;4;-;1;-;1;-;1;2;2;7;2;2;2;1;1;7;2;56
"314505 NOVA PORTEIRINHA";-;3;3;2;4;1;2;2;-;6;2;1;1;3;1;1;2;1;1;1;1;3;2;-;3;2;1;1;2;52
"314510 NOVA RESENDE";4;3;4;1;3;4;3;3;1;1;-;3;3;-;3;-;1;1;1;-;2;-;-;4;1;2;1;2;1;52
"314520 NOVA SERRANA";6;10;5;10;12;14;19;17;18;23;17;14;22;18;18;25;19;19;12;15;18;20;16;14;20;23;17;15;26;482
"314530 NOVO CRUZEIRO";19;12;8;6;1;12;13;14;16;19;21;13;14;11;9;14;16;7;4;1;6;2;10;9;-;7;6;4;2;276
"314535 NOVO ORIENTE DE MINAS";-;1;1;1;-;1;2;4;3;1;7;8;3;3;-;1;2;3;2;5;1;3;2;-;-;1;1;-;1;57
"314537 NOVORIZONTE";-;-;-;-;-;-;1;1;-;-;1;-;1;-;1;3;-;-;-;-;-;1;1;1;1;-;-;-;1;13
"314540 OLARIA";-;-;-;1;-;2;-;-;-;-;1;-;-;1;2;-;1;-;-;-;-;1;-;-;2;-;1;1;-;13
"314545 OLHOS-D'AGUA";-;-;1;-;-;3;1;4;1;2;-;1;2;1;1;1;-;-;2;-;2;1;-;2;1;3;-;2;3;34
"314550 OLIMPIO NORONHA";-;1;-;1;-;-;1;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;1;9
"314560 OLIVEIRA";22;21;17;23;12;13;18;10;12;9;5;8;8;3;5;5;2;2;4;4;3;4;3;5;6;5;4;9;2;244
"314570 OLIVEIRA FORTES";-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;2;-;-;-;-;1;-;-;-;10
"314580 ONCA DE PITANGUI";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;2;1;-;-;-;-;-;6
"314585 ORATORIOS";-;1;1;1;1;2;-;-;1;-;2;1;-;1;-;-;1;-;1;2;2;-;-;4;1;-;-;1;-;23
"314587 ORIZANIA";-;1;1;3;3;2;2;5;2;4;1;4;4;1;2;1;4;4;1;1;2;2;1;1;2;1;1;-;2;58
"314590 OURO BRANCO";9;7;16;6;7;6;9;5;5;11;3;8;8;14;7;10;6;6;3;10;3;7;6;6;6;3;3;5;2;197
"314600 OURO FINO";7;10;9;8;5;12;2;7;6;2;1;3;6;3;2;4;4;5;3;5;6;6;4;-;7;3;1;3;3;137
"314610 OURO PRETO";34;25;35;32;28;40;32;21;17;15;23;16;14;13;8;12;9;7;9;7;6;13;21;9;7;13;9;10;8;493
"314620 OURO VERDE DE MINAS";5;5;6;2;3;2;3;1;2;5;5;2;3;3;2;-;2;3;2;2;1;2;-;-;1;5;2;3;1;73
"314625 PADRE CARVALHO";-;-;1;1;-;-;-;-;-;3;3;-;1;2;-;-;-;1;2;1;-;2;-;-;2;1;-;-;-;20
"314630 PADRE PARAISO";-;-;1;-;5;6;19;15;10;13;12;11;8;10;2;5;6;3;3;8;5;4;7;1;7;7;6;2;3;179
"314640 PAINEIRAS";3;3;1;4;-;-;-;-;2;3;1;-;1;-;2;-;-;1;-;-;2;-;-;-;-;-;-;-;-;23
"314650 PAINS";3;4;4;1;1;4;4;1;-;3;2;1;-;1;2;-;1;-;1;-;-;1;1;2;-;-;-;3;-;40
"314655 PAI PEDRO";-;-;-;2;1;3;1;-;1;2;1;-;1;2;1;2;1;2;2;-;2;1;1;1;1;1;-;1;1;31
"314660 PAIVA";2;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"314670 PALMA";-;2;1;1;-;4;3;1;3;1;1;1;2;-;-;-;-;-;1;1;1;-;1;1;-;-;-;-;1;26
"314675 PALMOPOLIS";-;-;-;2;-;7;1;4;5;3;2;4;-;1;1;2;1;1;1;2;1;-;2;-;1;2;1;1;1;46
"314690 PAPAGAIOS";3;3;6;4;2;6;4;7;11;3;3;6;2;2;1;3;3;-;2;3;1;3;1;2;-;1;3;1;3;89
